,stress_spike_pct,stress_cong_threshold,stress_cong_min_days,n_long,xlu_hedge,n_short,stress_day_pct,n_events,sharpe,ann_return,ann_vol,max_dd,hit_rate,sortino,stress_sharpe,calm_sharpe
160,0.99,0.5,7,3,True,,45.9,127,-0.195,0.0146,0.1305,-0.3648,0.484,-0.243,0.372,-0.853
161,0.95,0.5,7,3,True,,49.1,150,-0.195,0.0145,0.1305,-0.3648,0.484,-0.243,0.472,-1.044
162,0.97,0.4,10,3,True,,49.9,109,-0.195,0.0147,0.1299,-0.3648,0.483,-0.242,0.109,-0.593
163,0.95,0.4,3,3,True,,66.8,354,-0.2,0.0151,0.1247,-0.3385,0.484,-0.245,0.166,-1.24
164,0.95,0.3,3,3,True,,72.6,347,-0.205,0.0142,0.1255,-0.3385,0.488,-0.253,-0.054,-0.796
165,0.97,0.3,3,3,True,,72.1,340,-0.205,0.0142,0.1255,-0.3385,0.488,-0.253,-0.066,-0.741
166,0.97,0.3,10,3,True,,57.1,107,-0.206,0.0137,0.128,-0.3648,0.483,-0.255,-0.198,-0.236
167,0.97,0.4,7,3,True,,54.9,146,-0.208,0.0132,0.1284,-0.3648,0.482,-0.258,0.112,-0.771
168,0.97,0.3,7,3,True,,61.6,146,-0.21,0.0132,0.1281,-0.3648,0.483,-0.26,-0.173,-0.314
169,0.99,0.3,7,3,True,,60.4,130,-0.211,0.013,0.1278,-0.3648,0.483,-0.262,-0.177,-0.31
170,0.99,0.4,3,5,False,5.0,64.6,331,-0.212,0.0113,0.1354,-0.3056,0.463,-0.265,-0.22,-0.201
171,0.99,0.3,3,3,True,,71.2,324,-0.213,0.0132,0.1256,-0.3385,0.488,-0.264,-0.093,-0.67
172,0.97,0.4,3,3,True,,66.1,347,-0.218,0.0127,0.1253,-0.3385,0.486,-0.268,0.116,-1.146
173,0.99,0.4,3,3,True,,64.6,331,-0.218,0.0127,0.1253,-0.3385,0.486,-0.268,0.076,-1.001
174,0.99,0.4,7,3,True,,53.1,130,-0.22,0.0117,0.1286,-0.3648,0.482,-0.273,0.079,-0.725
175,0.95,0.4,7,3,True,,55.9,153,-0.221,0.0116,0.1286,-0.3648,0.482,-0.274,0.142,-0.878
176,0.95,0.3,10,3,True,,58.0,114,-0.222,0.0117,0.1278,-0.3648,0.483,-0.274,-0.166,-0.358
177,0.95,0.4,10,3,True,,51.2,116,-0.224,0.0113,0.1282,-0.3648,0.482,-0.277,0.112,-0.677
178,0.99,0.4,3,7,False,5.0,64.6,331,-0.225,0.0097,0.1345,-0.3056,0.464,-0.279,-0.226,-0.225
179,0.95,0.3,7,3,True,,62.1,153,-0.226,0.0112,0.1278,-0.3648,0.483,-0.279,-0.159,-0.406
180,0.95,0.5,10,3,True,,42.9,108,-0.226,0.0108,0.1294,-0.3648,0.482,-0.281,0.393,-0.876
181,0.99,0.4,3,5,False,3.0,64.6,331,-0.227,0.0082,0.14,-0.3056,0.46,-0.288,-0.191,-0.285
182,0.95,0.5,3,3,True,,60.6,349,-0.233,0.01,0.1284,-0.3648,0.482,-0.289,0.109,-1.036
183,0.99,0.5,3,3,True,,58.1,326,-0.233,0.01,0.1284,-0.3648,0.482,-0.289,0.012,-0.764
184,0.99,0.4,3,7,False,3.0,64.6,331,-0.236,0.0078,0.1364,-0.3056,0.464,-0.298,-0.21,-0.278
185,0.97,0.5,3,3,True,,59.9,342,-0.238,0.0094,0.1284,-0.3648,0.482,-0.294,0.072,-0.946
186,0.97,0.5,10,3,True,,41.6,101,-0.238,0.009,0.1299,-0.3648,0.478,-0.297,0.352,-0.841
187,0.99,0.4,3,3,False,3.0,64.6,331,-0.243,0.0023,0.1548,-0.3056,0.467,-0.304,-0.185,-0.35
188,0.99,0.3,10,3,True,,55.6,91,-0.247,0.0084,0.1281,-0.3648,0.482,-0.305,-0.247,-0.266
189,0.99,0.5,10,3,True,,39.6,85,-0.278,0.0045,0.1277,-0.3648,0.479,-0.343,0.201,-0.726
190,0.99,0.5,7,5,True,,45.9,127,-0.316,0.0057,0.1086,-0.3648,0.48,-0.406,0.156,-0.807
191,0.97,0.5,7,5,True,,48.0,143,-0.374,0.0,0.1068,-0.3648,0.485,-0.473,0.15,-0.943
192,0.95,0.5,7,5,True,,49.1,150,-0.388,-0.0016,0.1072,-0.3648,0.479,-0.494,0.176,-1.021
193,0.99,0.5,10,5,True,,39.6,85,-0.404,-0.0033,0.1073,-0.3648,0.478,-0.515,-0.031,-0.715
194,0.97,0.5,10,5,True,,41.6,101,-0.411,-0.0036,0.1063,-0.3648,0.485,-0.517,0.038,-0.804
195,0.99,0.3,3,5,True,,71.2,324,-0.411,-0.0025,0.1033,-0.3385,0.491,-0.515,-0.365,-0.555
196,0.99,0.4,3,5,True,,64.6,331,-0.415,-0.0028,0.103,-0.3385,0.486,-0.516,-0.195,-0.891
197,0.97,0.3,3,5,True,,72.1,340,-0.417,-0.0027,0.1023,-0.3385,0.49,-0.521,-0.353,-0.616
198,0.95,0.3,3,5,True,,72.6,347,-0.417,-0.0027,0.1023,-0.3385,0.49,-0.521,-0.33,-0.691
199,0.95,0.4,3,5,True,,66.8,354,-0.421,-0.003,0.102,-0.3385,0.484,-0.522,-0.118,-1.114
200,0.95,0.4,7,5,True,,55.9,153,-0.424,-0.0048,0.1056,-0.3648,0.483,-0.534,-0.202,-0.754
201,0.97,0.4,3,5,True,,66.1,347,-0.424,-0.0033,0.102,-0.3385,0.484,-0.526,-0.162,-1.008
202,0.99,0.4,10,5,True,,48.0,93,-0.426,-0.0053,0.1064,-0.3648,0.48,-0.537,-0.34,-0.525
203,0.95,0.5,3,5,True,,60.6,349,-0.431,-0.0051,0.1046,-0.3648,0.481,-0.542,-0.118,-1.023
204,0.97,0.5,3,5,True,,59.9,342,-0.431,-0.0051,0.1046,-0.3648,0.481,-0.542,-0.165,-0.922
205,0.99,0.4,7,5,True,,53.1,130,-0.432,-0.0059,0.1062,-0.3648,0.477,-0.549,-0.313,-0.6
206,0.99,0.3,7,5,True,,60.4,130,-0.44,-0.006,0.1045,-0.3648,0.484,-0.551,-0.565,-0.21
207,0.97,0.4,7,5,True,,54.9,146,-0.441,-0.0065,0.1055,-0.3648,0.483,-0.555,-0.256,-0.709
208,0.99,0.3,10,5,True,,55.6,91,-0.449,-0.007,0.1048,-0.3648,0.481,-0.562,-0.647,-0.136
209,0.95,0.4,10,5,True,,51.2,116,-0.45,-0.0073,0.1051,-0.3648,0.48,-0.564,-0.264,-0.671
210,0.99,0.5,3,5,True,,58.1,326,-0.455,-0.0079,0.1052,-0.3648,0.485,-0.571,-0.253,-0.812
211,0.95,0.5,10,5,True,,42.9,108,-0.457,-0.0081,0.1053,-0.3648,0.485,-0.572,0.048,-0.915
212,0.97,0.3,7,5,True,,61.6,146,-0.458,-0.0075,0.1036,-0.3648,0.483,-0.572,-0.542,-0.3
213,0.97,0.4,10,5,True,,49.9,109,-0.465,-0.0088,0.1051,-0.3648,0.48,-0.582,-0.325,-0.625
