ticker,quarter_end,availability_date,metric_value,metric_unit,disclosure_type,segment_scope,source_url,notes
MYRG,2022-12-31,2023-02-22,2330000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2023-03-31,2023-04-26,2510000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2023-06-30,2023-07-26,2540000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2023-09-30,2023-10-25,2400000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2023-12-31,2024-02-28,2301147000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2024-03-31,2024-05-01,2219529000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2024-06-30,2024-07-31,2338046000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2024-09-30,2024-10-30,2358754000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2024-12-31,2025-02-26,2338961000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
MYRG,2025-03-31,2025-04-30,2366259000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0000700923/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
